ticker,announcement_date,timing_class,entry_date,exit_date,signal,position_dir,entry_price,exit_price,holding_period_days,gross_return,transaction_cost,net_return,market_return,abnormal_return
GOOGL,2018-07-23,AMC,2018-07-24,2018-07-31,1,1.0,62.91,61.36,5,-0.024584,0.002,-0.026584,-0.000994,-0.023589
AMZN,2018-07-26,AMC,2018-07-27,2018-08-03,1,1.0,90.86,91.16,5,0.003313,0.002,0.001313,0.007746,-0.004434
XOM,2018-07-27,BMO,2018-07-27,2018-08-03,-1,-1.0,81.92,80.2,5,0.020996,0.002,0.018996,0.007746,0.028743
CVX,2018-07-27,BMO,2018-07-27,2018-08-03,-1,-1.0,125.97,124.05,5,0.015242,0.002,0.013242,0.007746,0.022988
NVDA,2018-08-16,AMC,2018-08-17,2018-08-24,-1,-1.0,6.12,6.81,5,-0.111919,0.002,-0.113919,0.008595,-0.103324
GOOGL,2018-10-25,AMC,2018-10-26,2018-11-02,1,1.0,54.19,53.57,5,-0.011313,0.002,-0.013313,0.024724,-0.036037
AMZN,2018-10-25,AMC,2018-10-26,2018-11-02,1,1.0,82.14,83.28,5,0.01383,0.002,0.01183,0.024724,-0.010894
META,2018-10-30,AMC,2018-10-31,2018-11-07,1,1.0,151.79,151.53,5,-0.001713,0.002,-0.003713,0.038355,-0.040068
NVDA,2018-11-15,AMC,2018-11-16,2018-11-26,-1,-1.0,4.11,3.83,5,0.069209,0.002,0.067209,-0.02276,0.046449
COST,2018-12-13,AMC,2018-12-14,2018-12-21,-1,-1.0,207.06,194.52,5,0.060562,0.002,0.058562,-0.075901,-0.015339
JPM,2019-01-15,BMO,2019-01-15,2019-01-23,-1,-1.0,101.68,102.68,5,-0.009835,0.002,-0.011835,0.011753,0.001919
XOM,2019-02-01,BMO,2019-02-01,2019-02-08,1,1.0,75.92,73.98,5,-0.025553,0.002,-0.027553,0.001518,-0.027071
NVDA,2019-02-14,AMC,2019-02-15,2019-02-25,-1,-1.0,3.93,3.97,5,-0.00858,0.002,-0.01058,0.007751,-0.000829
META,2019-04-24,AMC,2019-04-25,2019-05-02,-1,-1.0,193.26,192.53,5,0.003777,0.002,0.001777,-0.002979,0.000798
AMZN,2019-04-25,AMC,2019-04-26,2019-05-03,1,1.0,97.53,98.12,5,0.006065,0.002,0.004065,0.002113,0.003952
XOM,2019-04-26,BMO,2019-04-26,2019-05-03,-1,-1.0,80.49,77.47,5,0.03752,0.002,0.03552,0.002113,0.039633
NVDA,2019-05-16,AMC,2019-05-17,2019-05-24,-1,-1.0,3.91,3.63,5,0.072702,0.002,0.070702,-0.010705,0.061996
AMZN,2019-07-25,AMC,2019-07-26,2019-08-02,-1,-1.0,97.15,91.16,5,0.061661,0.002,0.059661,-0.031092,0.030569
GOOGL,2019-07-25,AMC,2019-07-26,2019-08-02,1,1.0,62.26,59.82,5,-0.03927,0.002,-0.04127,-0.031092,-0.008178
XOM,2019-08-02,BMO,2019-08-02,2019-08-09,-1,-1.0,71.75,70.84,5,0.012683,0.002,0.010683,-0.003417,0.009266
CVX,2019-08-02,BMO,2019-08-02,2019-08-09,-1,-1.0,120.73,122.42,5,-0.013998,0.002,-0.015998,-0.003417,-0.017416
NVDA,2019-08-15,AMC,2019-08-16,2019-08-23,-1,-1.0,3.99,4.06,5,-0.01805,0.002,-0.02005,-0.013848,-0.031898
AMZN,2019-10-24,AMC,2019-10-25,2019-11-01,-1,-1.0,88.07,89.57,5,-0.017095,0.002,-0.019095,0.015053,-0.002042
GOOGL,2019-10-28,AMC,2019-10-29,2019-11-05,-1,-1.0,63.03,64.57,5,-0.024416,0.002,-0.026416,0.012599,-0.011817
NVDA,2019-11-14,AMC,2019-11-15,2019-11-22,-1,-1.0,5.1,5.27,5,-0.032813,0.002,-0.034813,-0.002662,-0.035475
AMZN,2020-01-30,AMC,2020-01-31,2020-02-07,1,1.0,100.44,103.96,5,0.035127,0.002,0.033127,0.032543,0.002584
XOM,2020-01-31,BMO,2020-01-31,2020-02-07,-1,-1.0,62.12,61.47,5,0.010464,0.002,0.008464,0.032543,0.043006
