gross_return,transaction_cost,net_return,turnover,long_exposure,short_exposure,gross_exposure,net_exposure,benchmark_return,cumulative_gross,cumulative_net,cumulative_benchmark
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02350693898092482,0.0,0.0,-0.01447618943518214
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004492450592632702,0.0,0.0,-0.010048772408356554
0.0,2e-05,-2e-05,0.02,0.0,0.0,0.0,0.0,0.003919591855763294,0.0,-2.0000000000020002e-05,-0.006168567639085465
9.234989166864161e-05,0.0,9.234989166864161e-05,0.0,0.0,0.02,0.02,-0.02,0.003253548405526052,9.234989166873042e-05,7.234804467093348e-05,-0.0029350889669659264
0.0003618284742160838,0.0,0.0003618284742160838,0.0,0.0,0.02,0.02,-0.02,0.000798301990502015,0.0004542117807053714,0.00043420269646965437,-0.002139130063828487
-0.0003752444912804931,0.0,-0.0003752444912804931,0.0,0.0,0.02,0.02,-0.02,-0.010917804882538684,7.879684895639727e-05,5.879527301932974e-05,-0.01303358034171187
-0.0002782386414006588,0.0,-0.0002782386414006588,0.0,0.0,0.02,0.02,-0.02,0.004939571655629527,-0.00019946371677248553,-0.00021945972749815024,-0.008158388990109677
2.352276131734943e-05,2e-05,3.522761317349428e-06,0.02,0.0,0.02,0.02,-0.02,0.0008024295285495864,-0.00017594564739242813,-0.00021593773928507698,-0.00736250599379118
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016137122025887685,-0.00017594564739242813,-0.00021593773928507698,0.008655806374458397
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012822771448002257,-0.00017594564739242813,-0.00021593773928507698,0.0073624300869743475
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016296386718750444,-0.00017594564739242813,-0.00021593773928507698,0.005720793314310635
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057871997800960084,-0.00017594564739242813,-0.00021593773928507698,0.011541100468217103
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006344096430385804,-0.00017594564739242813,-0.00021593773928507698,0.017958414752885954
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012217172166084644,-0.00017594564739242813,-0.00021593773928507698,0.01671475743179096
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014188926470526386,-0.00017594564739242813,-0.00021593773928507698,0.018157366525260787
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000537453517055142,-0.00017594564739242813,-0.00021593773928507698,0.01761015426770629
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006599486022871526,-0.00017594564739242813,-0.00021593773928507698,0.010894450277884493
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00044294864281180235,-0.00017594564739242813,-0.00021593773928507698,0.010446675953107887
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005908348703302924,-0.00017594564739242813,-0.00021593773928507698,0.01104368308387027
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009250096305900124,-0.00017594564739242813,-0.00021593773928507698,0.020395934521868053
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004387720245211835,-0.00017594564739242813,-0.00021593773928507698,0.024873146421901415
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002426948789588157,-0.00017594564739242813,-0.00021593773928507698,0.02238583177971143
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068119592612911894,-0.00017594564739242813,-0.00021593773928507698,0.02935028241511617
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032379575433703067,-0.00017594564739242813,-0.00021593773928507698,0.026017289903399687
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009987866950757596,-0.00017594564739242813,-0.00021593773928507698,0.015769565722667744
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010921179787825253,-0.00017594564739242813,-0.00021593773928507698,0.026862967772926183
